17/12/2020 15:23:20 http://alisonalves.com- online:true
17/12/2020 15:23:22 https://random-status-code.herokuapp.com- online:false
17/12/2020 15:23:23 https://www.alura.com.br- online:true
17/12/2020 15:23:28 http://alisonalves.com- online:true
17/12/2020 15:23:29 https://random-status-code.herokuapp.com- online:true
17/12/2020 15:23:29 https://www.alura.com.br- online:true
17/12/2020 15:23:35 http://alisonalves.com- online:true
17/12/2020 15:23:36 https://random-status-code.herokuapp.com- online:false
17/12/2020 15:23:36 https://www.alura.com.br- online:true
17/12/2020 15:24:39 http://alisonalves.com- online: true
17/12/2020 15:24:40 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:24:41 https://www.alura.com.br- online: true
17/12/2020 15:24:46 http://alisonalves.com- online: true
17/12/2020 15:24:47 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:24:47 https://www.alura.com.br- online: true
17/12/2020 15:24:53 http://alisonalves.com- online: true
17/12/2020 15:24:54 https://random-status-code.herokuapp.com- online: false
17/12/2020 15:24:54 https://www.alura.com.br- online: true
17/12/2020 15:25:21 http://alisonalves.com- online: true
17/12/2020 15:25:21 https://random-status-code.herokuapp.com- online: false
17/12/2020 15:25:22 https://www.alura.com.br- online: true
17/12/2020 15:25:27 http://alisonalves.com- online: true
17/12/2020 15:25:28 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:25:29 https://www.alura.com.br- online: true
17/12/2020 15:25:34 http://alisonalves.com- online: true
17/12/2020 15:25:35 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:25:35 https://www.alura.com.br- online: true
17/12/2020 15:38:01 http://alisonalves.com- online: true
17/12/2020 15:38:02 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:38:03 https://www.alura.com.br- online: true
17/12/2020 15:38:06 http://alisonalves.com- online: true
17/12/2020 15:38:07 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:38:08 https://www.alura.com.br- online: true
17/12/2020 15:38:11 http://alisonalves.com- online: true
17/12/2020 15:38:12 https://random-status-code.herokuapp.com- online: true
17/12/2020 15:38:13 https://www.alura.com.br- online: true
